dimension,A_minimal_paragraph_mean,A_minimal_paragraph_sd,B_structured_sections_mean,B_structured_sections_sd,C_ICS_traceability_mean,C_ICS_traceability_sd,F,p_value
scenario_fidelity_pct,99.5,1.225,94.667,2.338,94.167,2.041,14.027,0.00036778270160434004
decision_actionability_pct,81.333,10.033,78.667,8.869,74.167,13.934,0.632,0.5449494696460635
briefing_structure_score,6.167,1.722,9.0,0.0,8.5,0.548,12.602,0.0006146931124217976
traceability_pct,14.167,4.916,40.833,23.541,62.5,17.248,12.046,0.0007587175472073337
overreach_severity,0.0,0.0,0.0,0.0,0.0,0.0,,
composite_score,64.167,6.503,76.042,5.821,78.958,7.22,8.611,0.0032319420935211624
